Date,Temperature(Celsius)(high),Temperature(Celsius)(avg),Temperature(Celsius)(low),Dew Point(Celsius)(high),Dew Point(Celsius)(avg),Dew Point(Celsius)(low),Humidity(%)(high),Humidity(%)(avg),Humidity(%)(low),Sea Level Press(hPa's)(high),Sea Level Press(hPa's)(avg),Sea Level Press(hPa's)(low),Visibility(km)(high),Visibility(km)(avg),Visibility(km)(low),Wind(km/h)(high),Wind(km/h)(avg),Precipitation(mm)(high),Precipitation(mm)(sum),weather1,weather2,weather3
2014-2-23,3,2,1,-3,-6,-7,65,58,51,1032,1031,1029,3,2,2,11,5,-,0,,,
2014-2-24,7,3,-1,-3,-4,-5,75,55,39,1030,1027,1025,2,2,0,14,5,-,0,,,
2014-2-25,8,2,-3,-1,-4,-6,80,63,39,1028,1026,1024,2,1,0,11,3,-,0,雾,,
2014-2-26,9,4,-1,3,-1,-4,80,66,36,1025,1023,1020,26,2,0,21,6,29,1.02,雾 , 中雨,
2014-2-27,9,4,-1,-9,-16,-20,44,21,8,1032,1029,1025,31,24,10,32,19,-,0,,,
2014-2-28,6,1,-3,-4,-7,-14,80,53,26,1030,1026,1022,10,7,3,14,6,21,0,,,
2014-3-1,12,4,-3,-6,-15,-27,74,31,4,1026,1023,1020,31,8,2,29,11,55,0,,,
2014-3-2,11,4,-2,-2,-8,-13,75,46,17,1025,1022,1019,7,5,2,18,10,-,0,,,
2014-3-3,4,0,-3,-3,-6,-9,86,60,42,1024,1022,1020,4,3,2,14,6,-,0,,,
2014-3-4,10,4,-2,-3,-19,-30,74,23,4,1030,1026,1023,31,10,2,32,14,50,0,,,
2014-3-5,9,1,-6,-13,-21,-27,54,18,4,1031,1028,1024,31,20,10,29,13,35,0,,,
2014-3-6,8,1,-6,-10,-26,-31,32,11,4,1033,1030,1027,31,24,8,29,13,43,0,,,
2014-3-7,8,0,-7,-8,-18,-28,74,28,4,1032,1029,1027,31,14,6,26,10,-,0,,,
2014-3-8,10,5,0,-2,-7,-16,75,46,20,1028,1023,1019,8,5,2,18,6,-,0,,,
2014-3-9,10,3,-3,-4,-9,-13,69,41,16,1028,1026,1024,9,7,2,18,8,-,0,,,
2014-3-10,9,2,-4,-2,-7,-10,74,50,26,1029,1024,1019,10,6,2,14,6,-,0,,,
2014-3-11,14,6,-2,-1,-6,-13,80,43,13,1024,1018,1015,14,4,2,32,8,43,0,,,
2014-3-12,11,6,2,-8,-19,-26,31,15,4,1028,1025,1023,31,22,3,26,16,32,0,,,
2014-3-13,13,4,-3,-13,-21,-26,47,14,4,1026,1022,1017,31,17,8,32,10,35,0,,,
2014-3-14,17,10,4,-9,-21,-25,19,9,4,1022,1018,1013,27,21,10,29,19,32,0,,,
2014-3-15,22,11,0,-2,-10,-14,56,24,6,1014,1011,1008,10,6,3,18,6,-,0,,,
2014-3-16,17,11,5,1,-8,-14,46,24,10,1019,1015,1012,10,6,3,18,10,-,0,,,
2014-3-17,21,12,3,0,-7,-12,61,28,8,1019,1012,1010,21,6,3,40,13,55,0,,,
2014-3-18,15,10,6,-3,-9,-13,31,21,12,1025,1022,1019,19,13,6,26,14,-,0,,,
2014-3-19,13,8,4,-2,-8,-18,42,30,8,1028,1023,1021,18,10,6,26,10,-,0,,,
2014-3-20,19,12,5,-10,-16,-18,27,13,4,1029,1026,1023,31,26,16,26,14,43,0,,,
2014-3-21,22,13,4,-7,-14,-20,39,13,4,1024,1020,1015,31,16,6,26,13,40,0,,,
2014-3-22,24,13,3,-3,-13,-23,52,18,4,1025,1018,1015,31,14,8,21,10,40,0,,,
2014-3-23,19,12,5,2,-4,-10,53,31,15,1027,1023,1019,8,5,3,18,6,26,0,,,
2014-3-24,21,12,4,4,1,-2,70,45,20,1019,1014,1009,4,3,2,14,5,26,0,,,
2014-3-25,23,14,6,7,2,-2,66,42,18,1012,1010,1007,8,4,2,14,6,-,0,,,
2014-3-26,24,16,7,11,7,3,77,56,29,1013,1010,1007,8,2,0,14,5,-,0,,,
2014-3-27,16,13,10,11,5,0,80,57,33,1014,1011,1009,7,4,0,18,5,-,0,雾,,
2014-3-28,23,17,11,9,7,2,82,54,25,1011,1008,1005,11,4,2,21,8,-,0,中雨,,
2014-3-29,23,16,8,8,1,-3,82,38,15,1015,1013,1010,24,9,4,18,8,26,0,,,
2014-3-30,26,16,7,5,-5,-11,62,26,5,1017,1015,1013,31,16,3,14,6,29,0,,,
2014-3-31,23,18,12,10,3,-3,72,42,23,1017,1015,1013,10,5,2,26,10,43,1.02,中雨 , 雷暴,
2014-4-1,25,16,6,10,3,-8,90,48,11,1015,1012,1008,14,4,0,21,6,32,0,雾,,
2014-4-2,23,16,9,8,2,-4,71,39,16,1023,1014,1010,11,6,3,26,8,35,0,,,
2014-4-3,20,13,7,1,-17,-30,50,15,4,1026,1023,1021,29,17,10,40,14,64,0,,,
2014-4-4,26,14,4,-3,-10,-21,53,23,4,1022,1015,1008,19,15,11,29,11,47,0,,,
2014-4-5,20,12,4,-3,-11,-18,52,21,4,1025,1022,1018,31,18,10,21,10,29,0,,,
2014-4-6,25,14,3,-1,-8,-18,65,25,4,1021,1017,1013,16,10,6,26,8,32,0,,,
2014-4-7,25,16,7,3,-1,-5,57,33,12,1015,1013,1010,8,6,3,14,5,-,0,,,
2014-4-8,26,17,8,7,3,-3,76,40,14,1016,1013,1010,5,5,2,18,8,32,0,,,
2014-4-9,32,22,12,10,0,-12,72,32,4,1020,1011,1008,10,6,2,29,13,43,0,,,
2014-4-10,18,16,13,3,-2,-9,47,30,13,1024,1022,1020,10,7,5,14,8,-,0,中雨,,
2014-4-11,18,14,12,1,-3,-7,44,29,13,1021,1019,1016,19,11,6,11,8,-,0,中雨,,
2014-4-12,21,13,6,3,-2,-7,66,34,13,1018,1016,1013,8,7,5,14,6,-,0,,,
2014-4-13,24,16,8,8,4,1,71,44,22,1019,1017,1014,8,4,2,14,6,-,0,,,
2014-4-14,26,18,10,13,8,5,76,52,29,1019,1016,1013,11,3,2,14,6,32,0,,,
2014-4-15,23,19,15,11,3,-6,67,38,14,1021,1019,1016,18,7,3,26,10,-,0,,,
2014-4-16,22,17,12,2,-3,-9,47,26,6,1018,1014,1010,14,11,6,6,5,-,0,,,
2014-4-17,18,14,11,10,7,-2,86,62,23,1017,1013,1010,8,5,2,18,6,-,5.08,中雨,,
2014-4-18,20,16,12,12,9,2,94,66,34,1023,1019,1016,8,3,2,21,8,-,0,,,
2014-4-19,15,11,8,6,3,-2,81,53,21,1023,1021,1018,13,9,5,21,8,-,0.25,中雨,,
2014-4-20,22,13,5,7,3,-2,87,48,12,1019,1016,1013,19,8,2,21,8,29,0,中雨,,
2014-4-21,25,16,7,6,1,-6,71,35,7,1018,1016,1013,27,16,5,29,8,35,0,,,
2014-4-22,27,17,8,8,3,-2,83,37,12,1016,1013,1009,13,9,2,26,10,-,0,,,
2014-4-23,26,20,15,13,11,8,77,56,33,1012,1010,1007,10,4,2,26,13,43,0.25,中雨,,
2014-4-24,25,20,16,13,11,10,72,57,32,1016,1014,1012,8,5,3,18,10,-,0,,,
2014-4-25,27,19,12,11,9,4,88,52,23,1019,1016,1014,10,6,3,40,10,50,10.92,中雨,,
2014-4-26,22,16,11,11,7,1,94,59,20,1022,1020,1018,19,11,6,21,11,-,3.05,中雨,,
2014-4-27,24,17,9,10,5,-3,94,51,8,1022,1020,1018,27,11,3,26,10,43,0,,,
2014-4-28,26,18,10,9,5,-2,87,45,11,1022,1019,1015,11,8,6,21,8,32,0,,,
2014-4-29,27,18,10,9,6,3,76,41,13,1016,1013,1009,10,7,6,18,8,32,0,,,
2014-4-30,28,20,12,12,9,8,82,49,19,1011,1009,1006,10,7,5,18,8,32,0,,,
2014-5-1,28,21,15,16,11,1,82,54,21,1012,1008,1004,18,7,2,50,14,61,0,中雨 , 雷暴,
2014-5-2,24,18,12,4,-2,-10,58,28,5,1018,1016,1012,31,19,10,58,29,84,0,中雨,,
2014-5-3,25,16,7,6,-1,-11,81,38,5,1018,1013,1006,21,11,3,55,14,76,0,,,
2014-5-4,19,14,10,-4,-10,-18,32,19,4,1019,1017,1016,31,22,10,50,32,84,0,,,
2014-5-5,22,13,5,0,-6,-14,61,27,4,1021,1017,1014,31,23,6,21,10,32,0,,,
2014-5-6,21,14,9,10,3,-2,59,44,22,1015,1009,1003,13,8,5,14,8,-,0.51,中雨 , 雷暴,
2014-5-7,27,19,11,9,2,-7,82,40,5,1014,1006,1002,31,8,3,40,10,61,0,,,
2014-5-8,23,17,10,11,7,3,94,54,18,1016,1014,1011,13,6,2,21,8,-,0,,,
2014-5-9,21,18,16,9,6,3,59,44,24,1016,1015,1013,16,10,6,21,11,40,0,,,
2014-5-10,21,17,13,9,6,0,72,47,23,1017,1016,1014,19,11,6,18,10,-,7.11,中雨,,
2014-5-11,14,12,10,11,9,8,94,85,58,1016,1007,1001,26,8,3,21,13,-,9.91,中雨,,
2014-5-12,30,19,8,12,9,3,100,52,13,1003,1000,998,31,11,3,29,11,-,0,,,
2014-5-13,31,21,12,14,6,-9,94,42,5,1003,1000,997,26,12,8,43,10,61,0,,,
2014-5-14,23,18,12,5,-2,-6,55,23,8,1008,1005,1003,31,25,14,43,26,61,0,,,
2014-5-15,29,18,8,7,4,-2,76,37,9,1003,1000,997,23,10,8,26,8,47,0,,,
2014-5-16,30,22,14,9,4,-1,67,31,8,1013,1007,1001,31,19,6,26,10,-,0,,,
2014-5-17,28,21,14,10,6,3,67,36,14,1015,1012,1009,26,14,8,26,8,-,0,中雨,,
2014-5-18,30,21,13,14,9,6,72,41,20,1011,1008,1004,11,8,6,26,8,40,0,中雨,,
2014-5-19,28,22,17,17,15,12,94,64,28,1008,1004,1001,10,7,3,21,10,-,0,中雨 , 雷暴,
2014-5-20,32,24,18,16,11,6,83,43,12,1007,1004,1002,31,10,2,26,10,-,0,,,
2014-5-21,31,23,16,17,13,10,77,52,26,1008,1005,1003,8,6,6,21,8,-,0,,,
2014-5-22,35,27,19,18,14,8,88,48,12,1009,1006,1005,14,4,2,29,11,-,0,,,
2014-5-23,34,27,20,16,13,9,73,40,16,1011,1010,1008,14,8,5,29,11,40,0,中雨,,
2014-5-24,26,22,19,19,18,14,94,83,36,1009,1008,1007,10,4,2,14,8,-,7.87,中雨,,
2014-5-25,29,22,15,19,8,-3,94,48,6,1009,1006,1004,31,6,1,55,14,72,0,,,
2014-5-26,35,23,12,11,4,-2,77,29,9,1006,999,993,26,20,14,32,11,43,0,,,
2014-5-27,32,24,18,11,4,-3,64,26,5,1001,996,994,31,12,6,58,16,90,0,,,
2014-5-28,37,26,15,12,7,1,68,28,6,1004,1000,996,27,19,6,35,10,50,0,,,
2014-5-29,42,30,18,15,11,3,68,33,5,1002,998,996,31,14,10,21,6,43,0,,,
2014-5-30,35,28,20,15,13,10,60,37,21,1008,1006,1002,13,9,7,21,10,-,0,,,
2014-5-31,34,27,20,19,16,12,83,49,28,1010,1007,1005,10,7,6,50,6,68,7.11,中雨 , 雷暴,
2014-6-1,31,25,19,18,16,12,88,64,25,1012,1008,1006,21,10,6,21,13,35,2.03,中雨 , 雷暴,
2014-6-2,26,22,18,15,13,11,73,53,29,1013,1011,1009,31,24,10,14,6,-,0,,,
2014-6-3,32,23,16,14,13,11,82,47,19,1009,1008,1005,26,18,6,18,10,-,0,,,
2014-6-4,31,24,19,17,14,13,83,50,26,1008,1006,1004,18,9,6,18,6,-,0,,,
2014-6-5,34,27,19,17,15,13,83,47,19,1006,1004,1002,23,9,6,14,8,-,0,,,
2014-6-6,27,21,16,19,17,14,94,74,45,1005,1004,1003,31,9,5,40,11,61,4.06,中雨 , 雷暴,
2014-6-7,30,22,14,14,11,5,94,50,12,1006,1004,1001,31,24,10,26,10,35,0,,,
2014-6-8,31,23,17,15,13,8,88,62,20,1004,1002,999,31,13,6,55,6,84,0.25,中雨 , 雷暴,
2014-6-9,31,22,14,15,13,7,94,57,15,1008,1005,1002,31,13,5,18,8,29,0,中雨,,
2014-6-10,26,22,18,19,16,13,88,71,47,1011,1009,1007,8,5,3,18,6,-,11.94,中雨 , 雷暴,
2014-6-11,30,23,17,17,14,11,94,54,22,1012,1010,1007,31,13,2,18,8,32,0,,,
2014-6-12,36,27,18,18,14,9,83,46,12,1008,1006,1003,31,19,5,18,6,26,0,中雨,,
2014-6-13,32,26,19,20,17,15,94,63,28,1009,1007,1005,26,11,3,55,6,84,11.94,中雨 , 雷暴,
2014-6-14,32,24,18,20,17,16,94,61,32,1008,1006,1004,19,12,6,11,6,-,0,,,
2014-6-15,32,26,20,21,18,16,88,62,31,1006,1004,1002,10,6,2,40,8,55,2.03,中雨 , 雷暴,
2014-6-16,30,26,21,21,19,18,94,71,40,1004,1002,1000,7,4,2,14,6,-,0,中雨,,
2014-6-17,27,22,18,21,18,16,94,80,47,1004,1002,1001,10,6,2,26,10,50,34.04,中雨 , 雷暴,
2014-6-18,31,24,18,20,17,14,94,66,32,1004,1003,1000,31,7,3,18,8,29,0,,,
2014-6-19,27,23,20,20,19,17,94,73,56,1006,1004,1002,8,4,2,18,8,-,5.08,中雨,,
2014-6-20,28,23,18,18,17,15,94,72,35,1009,1007,1005,31,9,3,18,8,-,2.03,中雨 , 雷暴,
2014-6-21,28,23,18,18,17,13,88,71,40,1010,1008,1006,18,7,5,32,6,32,3.05,中雨 , 雷暴,
2014-6-22,29,23,18,19,17,14,94,71,42,1010,1009,1006,18,9,6,21,6,-,0,,,
2014-6-23,31,24,17,17,15,12,94,55,23,1010,1008,1005,31,21,6,18,10,-,0,,,
2014-6-24,31,25,19,19,17,15,94,56,28,1006,1004,1002,21,15,8,18,6,-,0,,,
2014-6-25,27,24,23,21,19,16,88,69,47,1004,1003,1002,11,5,2,21,8,29,2.03,中雨,,
2014-6-26,33,28,22,21,21,17,91,69,43,1005,1003,1000,21,5,1,18,6,-,0,,,
2014-6-27,34,27,21,19,13,9,78,40,13,1008,1006,1005,31,26,16,29,11,35,0,,,
2014-6-28,38,28,18,17,13,8,73,38,11,1007,1005,1003,31,15,10,18,10,32,0,,,
2014-6-29,35,28,21,19,16,13,78,47,19,1007,1006,1004,31,14,6,14,6,-,0,,,
2014-6-30,35,29,23,19,17,12,78,47,16,1007,1006,1003,19,10,6,21,6,-,0,,,
2014-7-1,32,26,20,22,19,15,100,59,35,1007,1004,1001,14,5,1,29,10,50,43.94,中雨 , 雷暴,
2014-7-2,27,23,21,22,21,19,95,85,57,1005,1003,1001,6,5,2,11,5,-,4.06,中雨 , 雷暴,
2014-7-3,30,27,23,23,22,21,94,79,54,1002,1001,999,5,2,1,14,8,-,0,,,
2014-7-4,34,29,24,24,23,21,94,75,52,1007,1004,1002,4,3,2,21,6,-,0,,,
2014-7-5,31,27,23,23,22,20,94,73,45,1008,1007,1005,8,4,1,14,6,-,0,,,
2014-7-6,32,28,24,24,23,22,94,76,46,1006,1005,1003,4,2,1,14,10,-,0,,,
2014-7-7,32,28,24,23,22,21,85,71,51,1005,1003,1000,6,5,2,18,8,-,0.51,,,
2014-7-8,34,29,24,22,19,9,89,58,14,1004,1002,1000,31,9,2,21,6,-,0,,,
2014-7-9,32,27,22,20,15,11,83,49,17,1006,1004,1002,31,26,16,18,6,-,0,,,
2014-7-10,38,29,21,19,15,9,83,44,16,1002,1000,997,31,24,16,26,8,35,0,,,
2014-7-11,36,28,21,20,15,8,83,45,11,1001,1000,998,31,24,3,18,8,-,0,,,
2014-7-12,34,29,24,16,12,9,61,34,15,1004,1002,1000,31,23,10,18,11,-,0,,,
2014-7-13,36,28,21,22,14,11,73,45,16,1004,1002,1000,31,15,6,40,8,-,16,中雨 , 雷暴,
2014-7-14,36,28,20,20,16,13,83,49,24,1003,1002,1000,27,14,6,21,8,-,0,,,
2014-7-15,32,27,23,22,17,15,78,51,35,1005,1003,1002,23,15,10,32,14,35,1.02,中雨,,
2014-7-16,31,26,22,24,21,19,89,74,46,1006,1004,1001,10,5,2,26,6,-,8.89,中雨 , 雷暴,
2014-7-17,29,26,22,23,22,19,88,76,62,1007,1006,1003,7,4,2,18,6,-,0,中雨,,
2014-7-18,34,29,24,24,22,21,89,67,41,1008,1007,1005,10,5,3,18,6,-,0,,,
2014-7-19,37,31,26,24,23,22,89,61,39,1010,1008,1006,18,8,6,18,8,-,0,,,
2014-7-20,36,31,27,24,23,22,84,61,42,1008,1005,1001,19,8,5,26,11,47,0,中雨,,
2014-7-21,36,31,26,24,19,13,74,50,19,1004,1002,999,31,23,8,32,11,40,0,中雨,,
2014-7-22,30,28,26,18,16,13,54,46,26,1007,1006,1004,31,22,10,21,10,43,0,中雨,,
2014-7-23,32,27,23,20,17,13,78,51,31,1006,1004,1001,31,15,10,14,8,32,0,,,
2014-7-24,30,26,22,21,20,18,83,69,44,1008,1005,1003,23,8,6,11,5,-,0,中雨,,
2014-7-25,34,27,20,21,17,14,94,57,25,1007,1006,1004,24,8,2,18,8,-,0,,,
2014-7-26,36,28,21,20,18,16,83,52,25,1009,1008,1006,14,6,3,21,8,32,0,,,
2014-7-27,36,29,23,19,18,15,69,49,28,1011,1008,1004,10,6,4,21,10,-,0,,,
2014-7-28,36,30,24,22,20,17,83,56,29,1006,1004,1001,11,5,3,26,11,32,0,,,
2014-7-29,35,29,23,23,21,18,94,59,35,1005,1003,1000,10,5,2,32,13,-,20.07,中雨 , 雷暴,
2014-7-30,28,26,23,23,22,21,94,82,60,1008,1005,1003,6,3,2,14,8,-,21.08,中雨 , 雷暴,
2014-7-31,31,27,24,23,22,21,94,75,48,1008,1007,1004,5,3,1,14,6,-,0,,,
2014-8-1,32,28,24,24,23,21,94,73,47,1008,1006,1005,6,4,2,11,6,-,0,,,
2014-8-2,34,29,25,25,24,22,94,73,47,1006,1003,1000,6,5,4,14,6,-,0,,,
2014-8-3,35,30,26,25,24,23,94,73,47,1002,1001,999,8,4,2,18,5,-,0.51,中雨,,
2014-8-4,28,24,19,24,20,17,91,79,51,1007,1004,1001,31,11,3,29,8,47,12.95,中雨,,
2014-8-5,32,26,19,22,18,14,94,67,33,1008,1007,1005,27,20,10,14,6,-,0,,,
2014-8-6,34,28,22,22,17,10,94,56,16,1009,1007,1006,31,14,6,18,8,-,0,,,
2014-8-7,33,27,20,20,17,13,94,56,26,1010,1009,1007,14,8,2,14,8,-,0,,,
2014-8-8,32,26,20,19,17,13,88,56,22,1010,1008,1006,10,7,5,18,8,-,0,,,
2014-8-9,31,26,21,20,18,12,88,61,24,1008,1006,1002,10,6,2,32,8,29,4.06,中雨 , 雷暴,
2014-8-10,34,27,19,20,18,16,94,63,30,1005,1003,1000,19,9,3,18,8,26,0,,,
2014-8-11,35,28,20,20,14,9,83,47,14,1006,1004,1002,31,21,5,18,10,-,0,,,
2014-8-12,33,26,19,18,13,9,83,45,20,1008,1006,1004,27,13,5,35,6,55,5.08,中雨 , 雷暴,
2014-8-13,23,20,18,19,18,17,94,86,70,1009,1008,1007,18,9,2,21,8,-,7.87,中雨 , 雷暴,
2014-8-14,30,23,16,18,17,15,94,68,37,1009,1007,1005,21,10,2,21,8,-,0,,,
2014-8-15,32,25,18,20,17,13,94,66,25,1008,1006,1005,24,8,3,29,6,55,0,中雨 , 雷暴,
2014-8-16,33,27,20,22,18,16,88,62,31,1009,1007,1006,13,7,2,11,6,-,0,,,
2014-8-17,30,25,20,22,18,15,83,60,33,1012,1010,1008,18,9,4,21,10,-,0,雷暴,,
2014-8-18,30,25,20,20,18,16,88,62,38,1013,1012,1010,8,7,3,14,6,-,0,,,
2014-8-19,33,27,20,20,18,16,94,61,31,1013,1011,1009,10,6,3,18,8,32,0,,,
2014-8-20,33,27,21,21,19,16,88,60,29,1010,1008,1006,10,5,2,21,8,32,0,,,
2014-8-21,33,28,23,22,20,16,83,65,39,1009,1007,1005,11,5,2,32,8,58,0,中雨 , 雷暴,
2014-8-22,28,23,19,21,19,17,94,70,48,1009,1007,1005,14,7,3,18,8,-,3.05,,,
2014-8-23,33,27,22,23,21,16,94,69,40,1006,1005,1003,10,5,2,26,6,32,0.51,中雨 , 雷暴,
2014-8-24,33,27,22,20,16,9,88,56,18,1010,1007,1005,31,14,6,21,10,29,0.25,中雨,,
2014-8-25,32,24,18,18,12,6,88,47,11,1012,1011,1009,31,22,8,18,8,32,0,,,
2014-8-26,36,26,16,15,10,3,83,41,7,1014,1013,1011,31,19,6,14,6,21,0,,,
2014-8-27,35,26,17,17,14,11,82,49,22,1014,1013,1012,14,10,6,18,6,35,0,,,
2014-8-28,30,24,19,21,17,15,94,65,36,1016,1014,1013,10,7,3,26,6,-,4.06,中雨 , 雷暴,
2014-8-29,27,23,19,21,18,17,94,78,47,1016,1015,1014,7,5,2,14,6,-,1.02,中雨 , 雷暴,
2014-8-30,27,24,21,22,21,19,94,85,54,1016,1015,1012,5,3,2,11,5,-,0.76,中雨 , 雷暴,
2014-8-31,27,23,20,21,20,18,100,86,52,1014,1013,1012,10,4,2,18,6,-,2.03,中雨 , 雷暴,
2014-9-1,26,22,19,22,20,19,100,88,57,1014,1013,1010,10,4,0,50,6,40,75.95,雾 , 中雨 , 雷暴
2014-9-2,24,21,19,20,19,16,100,91,73,1012,1011,1009,31,7,2,14,6,-,14.99,中雨,,
2014-9-3,31,23,16,16,14,6,94,60,13,1012,1009,1006,31,23,11,21,8,-,0,,,
